Group	Family	NCU	Neurospora_gene
S/T	PPP	NCU06563	pp2A
S/T	PPP	NCU01433	ppt-1
CMGC	MAPK	NCU07024	os-2
STE	STE11	NCU03071	os-4
STE	STE7	NCU00587	os-5
1846	CAMK	CAMKL	NCU00914	stk-16
1849	Other	PEK	NCU01187	cpc-3
1885	STE	STE20	NCU03894	stk-4
1888	Other	WEE	NCU04326	stk-29
1916	Unclassified	-	NCU06421	stk-41
1917	Unclassified	-	NCU06422	stk-42
1919	Unclassified	-	NCU06583	stk-44
1920	Other	VPS15	NCU06626	stk-45
1925	AGC	YANK	NCU07062	stk-49
1936	CGMC	CLK/SRPK	NCU10004	stk-56
1937	Unclassified	-	NCU05638	stk-34
1944	CMGC	CDK	NCU07880	prk-6
1946	Other	IKS	NCU08177	stk-51
2294	CAMK	CAMKL	NCU04747	stk-31
